Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
0,0,0,0,0,0,0,12156,50,1,0,0
0,0,0,0,0,0,0,16660,52,1,0,0
0,0,0,0,0,0,0,16369,52,1,0,0
0,0,0,0,0,0,0,11105,55,2,0,0
0,0,0,0,0,0,0,10285,55,1,0,0
1,0,0,0,0,0,0,10033,55,1,0,0
0,0,0,0,0,0,0,9515,55,1,0,0
0,0,0,0,0,0,0,9958,55,1,0,0
0,0,0,0,0,0,0,10267,55,1,0,0
0,0,0,0,0,0,0,13444,56,1,0,0
0,0,0,0,0,0,0,2255,56,1,0,0
1,0,0,0,0,0,0,44946,56,1,0,0
0,0,0,0,0,0,0,19831,56,1,0,0
0,0,0,0,1,1,40,4114,57,1,0,0
0,0,0,0,0,0,0,21952,58,1,0,0
0,0,0,0,0,0,0,19990,58,1,0,0
0,0,0,0,0,0,0,3943,59,1,0,0
0,0,0,0,0,0,0,12089,60,1,0,0
0,0,0,0,0,0,0,12951,60,1,0,0
0,0,0,0,0,0,0,18662,60,1,0,0
0,0,0,0,0,0,0,6615,61,1,0,0
1,0,0,0,0,0,0,4990,64,2,0,0
0,0,0,0,0,0,0,2275,67,2,0,0
0,0,0,0,0,0,0,10575,68,1,0,0
0,0,0,0,0,0,0,4121,68,1,0,0
0,0,0,0,0,0,0,12014,68,1,0,0
1,0,0,0,0,0,0,21436,68,1,0,0
0,0,0,0,0,0,0,10418,69,1,0,0
0,0,0,0,0,0,0,23986,69,1,0,0
0,0,0,0,1,1,50,8436,75,1,0,0
0,0,0,0,0,0,0,4089,75,1,0,0
0,0,0,0,0,0,0,4456,75,1,0,0
0,0,0,0,0,0,0,6453,75,1,0,0
2,1,9,0,1,1,1220,2223,31,1,1,1
1,4,48,0,0,0,0,0,32,2,0,0
1,4,45,0,0,0,0,0,32,2,1,1
2,1,7,0,0,0,4110,10494,34,1,1,1
2,2,16,0,0,0,30,3799,35,1,1,1
5,1,7,0,0,0,0,4386,36,1,0,0
0,4,50,0,1,0,1450,8108,36,1,3,1
2,0,0,0,4,4,1870,14539,36,2,1,1
2,0,0,0,0,0,0,21352,36,1,1,1
0,13,160,0,0,0,470,8843,36,1,1,1
1,0,0,0,0,0,100,16674,37,2,2,1
1,1,17,0,0,0,0,0,38,1,1,1
0,0,0,0,0,0,0,6789,38,2,1,1
1,0,0,0,0,0,2200,43325,38,1,2,1
2,2,20,0,0,0,5690,8479,38,1,0,0
4,0,0,0,1,1,1410,15741,38,2,1,1
1,0,0,0,0,0,15700,2871,38,1,0,0
0,2,58,0,0,0,0,3484,38,1,1,1
3,0,0,0,0,0,74,23153,39,2,1,1
1,0,0,0,0,0,1720,10020,39,1,2,1
1,0,0,0,1,1,13700,5195,39,1,1,1
1,0,0,0,0,0,300,2055,39,1,1,1
0,1,10,0,0,0,0,734,40,2,1,1
1,0,0,0,0,0,2400,5660,40,1,0,0
3,0,0,0,0,0,3800,6484,40,1,1,1
2,0,0,0,1,1,3950,6361,40,1,1,1
2,0,0,0,0,0,0,0,40,1,1,1
1,0,0,0,0,0,14210,12159,40,2,2,1
1,0,0,0,0,0,0,12125,40,1,2,1
3,2,14,0,0,0,200,3660,40,1,1,1
0,9,275,13,0,0,800,1673,40,1,1,1
4,0,0,0,2,1,420,8243,40,1,1,1
5,0,0,0,0,0,550,2470,41,1,1,1
1,0,0,0,1,1,700,6166,41,1,1,1
3,2,23,0,0,0,1117,19381,41,2,1,1
1,1,8,0,0,0,4260,10459,41,1,1,1
